order,round,program,benchmark,seconds,peak_bytes,exit_code,timed_out,output_ok,output,stderr_tail
117,8,helper,b3,0.1570977919982397,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
118,8,helper,b2,0.28712324999651173,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
119,8,koka,b4,0.5697102090052795,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
120,8,rust-same,b1,0.1630596670001978,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
121,8,helper,b4,0.30667391599854454,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
122,8,koka,b2,0.21246391600288916,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
123,8,rust-same,b4,0.30464704200130654,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
124,8,koka,share-b1,0.5124237080017338,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
125,8,rust-same,b2,0.25817095799720846,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
126,8,rust-same,b3,0.13114704199688276,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
127,9,koka,b3,0.13800158300000476,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
128,9,rust-same,b3,0.13086483299412066,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
129,9,helper,b4,0.3123623750070692,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
130,9,rust-same,b4,0.3152938329949393,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
131,9,koka,b2,0.23377766700286884,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
132,9,koka,b4,0.5802929170022253,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
133,9,helper,share-b1,0.6529158749981434,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
134,9,helper,b1,0.17218249999859836,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
135,9,rust-same,b2,0.26481362499907846,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
136,9,helper,b3,0.15641079099441413,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
137,9,koka,b1,0.1374342080016504,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
138,9,koka,share-b1,0.5143168340000557,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
139,9,helper,b2,0.2913071660004789,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
140,9,rust-same,b1,0.16288320899911923,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
141,10,helper,b4,0.3058748750045197,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
142,10,koka,share-b1,0.5116332079996937,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
143,10,helper,b2,0.28693949999433244,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
144,10,rust-same,b4,0.3044593749946216,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
145,10,helper,b3,0.15575466599693755,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
146,10,koka,b2,0.21118441699945834,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
147,10,helper,b1,0.17189658399729524,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
148,10,rust-same,b2,0.2606096669987892,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
149,10,helper,share-b1,0.6432069580041571,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
150,10,rust-same,b3,0.1304699999964214,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
151,10,koka,b4,0.5594495830009691,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
152,10,rust-same,b1,0.16195937500015134,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
153,10,koka,b1,0.13663916700170375,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
154,10,koka,b3,0.13769083299848717,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
