order,round,version,benchmark,seconds,output_ok,output
173,6,koka-box,b3,0.136845,True,first 1000000 | last 1 | weighted 166667166667000000
174,6,rust-same-std,b1,0.172017,True,sum 500100500000 | first 101 | last 1000100
175,6,rust-same-std,b3,0.067247,True,first 1000000 | last 1 | weighted 166667166667000000
176,6,koka-keep,b3,0.143668,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
177,6,rust-best-std,b1,0.016305,True,sum 500100500000 | first 101 | last 1000100
178,6,rust-same-mimalloc,b3,0.129324,True,first 1000000 | last 1 | weighted 166667166667000000
179,6,koka,b2,0.224447,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
180,6,koka,b1,0.14087,True,sum 500100500000 | first 101 | last 1000100
181,6,rust-same-mimalloc,b2,0.27642,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
182,6,koka-keep,b2,0.217801,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
183,6,koka-helper,b2,0.223635,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
184,6,rust-best-mimalloc,b4,0.287716,True,first 37 | last 554962791 | sum-mod 491625299
185,6,rust-same-std,b2,0.279696,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
186,6,koka,b3,0.137816,True,first 1000000 | last 1 | weighted 166667166667000000
187,6,koka-helper,b1,0.137998,True,sum 500100500000 | first 101 | last 1000100
188,6,koka-keep,b1,0.142392,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
189,6,rust-best-mimalloc,b1,0.01612,True,sum 500100500000 | first 101 | last 1000100
190,6,rust-best-std,b3,0.016063,True,first 1000000 | last 1 | weighted 166667166667000000
191,6,rust-best-std,b2,0.085521,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
192,6,rust-best-mimalloc,b2,0.08372,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
193,7,rust-same-std,b1,0.170269,True,sum 500100500000 | first 101 | last 1000100
194,7,rust-best-std,b2,0.087315,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
