order,round,program,benchmark,seconds,peak_bytes,exit_code,timed_out,output_ok,output,stderr_tail
70,4,rust-same,b1,0.1617615410068538,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
71,5,rust-same,b3,0.1310894579946762,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
72,5,helper,share-b1,0.6371499999950174,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
73,5,rust-same,b1,0.16350533399963751,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
74,5,helper,b4,0.30502933399839094,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
75,5,helper,b1,0.17087979200005066,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
76,5,helper,b3,0.15583512499870267,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
77,5,koka,b4,0.5596966250013793,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
78,5,koka,share-b1,0.5120346670009894,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
79,5,rust-same,b4,0.3044209579966264,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
80,5,koka,b1,0.13609749999886844,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
81,5,koka,b3,0.13709662500332342,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
82,5,rust-same,b2,0.2866859579953598,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
83,5,koka,b2,0.21111758299957728,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
84,5,helper,b2,0.28600516699953005,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
85,6,koka,share-b1,0.5117582919992856,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
86,6,helper,b1,0.16931154200574383,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
87,6,rust-same,b4,0.3063668750037323,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
88,6,rust-same,b2,0.256518916998175,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
89,6,koka,b1,0.13621070800581947,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
90,6,helper,share-b1,0.6502622910047648,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
91,6,rust-same,b3,0.13098674999491777,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
92,6,rust-same,b1,0.16278549999697134,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
93,6,koka,b3,0.13778958300099475,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
94,6,helper,b3,0.15511429099569796,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
95,6,koka,b4,0.5631102500046836,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
96,6,helper,b4,0.3084588330020779,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
97,6,helper,b2,0.2865512919961475,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
98,6,koka,b2,0.21194704099616501,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
99,7,koka,share-b1,0.5116326249990379,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
100,7,rust-same,b1,0.16239941700041527,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
101,7,helper,b4,0.3116049589953036,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
102,7,helper,share-b1,0.669791416003136,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
103,7,helper,b1,0.1693130409985315,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
104,7,koka,b4,0.5676379579963395,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
105,7,koka,b2,0.20961237499432173,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
106,7,rust-same,b4,0.3041468329975032,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
107,7,koka,b1,0.13618412500363775,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
108,7,helper,b2,0.28668041699711466,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
109,7,rust-same,b3,0.13052245799917728,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
110,7,helper,b3,0.15543808299844386,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
111,7,rust-same,b2,0.26012845899822423,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
112,7,koka,b3,0.13803287500195438,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
113,8,helper,b3,0.15545408300386043,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
114,8,rust-same,b1,0.16259837500547292,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
115,8,koka,b4,0.5527293750055833,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
116,8,helper,b4,0.3071749170048861,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
117,8,koka,b2,0.21154591599770356,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
118,8,koka,b1,0.13637366599868983,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
119,8,helper,b2,0.28604554099729285,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
120,8,rust-same,b4,0.30426900000020396,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
121,8,koka,share-b1,0.50750337500358,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
122,8,koka,b3,0.13792383299733046,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
123,8,helper,b1,0.17049441600102,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
124,8,rust-same,b2,0.2592507500012289,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
125,8,rust-same,b3,0.12956383299751906,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
126,8,helper,share-b1,0.6458175829975517,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
127,9,koka,b4,0.5553739580063848,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
128,9,koka,b2,0.2131149160049972,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
129,9,rust-same,b3,0.1305624579981668,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
130,9,rust-same,b4,0.30438999999751104,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
131,9,helper,share-b1,0.6520691249970696,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
132,9,koka,b3,0.13790758299728623,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
133,9,helper,b4,0.3057576249993872,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
134,9,helper,b1,0.17068562500207918,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
135,9,rust-same,b1,0.16266641600668663,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
136,9,koka,b1,0.13704600000346545,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
137,9,rust-same,b2,0.2589339590049349,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
138,9,helper,b2,0.29024349999963306,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
139,9,koka,share-b1,0.5250536669991561,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
140,9,helper,b3,0.1589056660013739,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
141,10,koka,b3,0.1424780000015744,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
